company_name,ticker,country,meeting_date,meeting_id,meeting_type,proposal_number,proposal_text,proponent,management_rec,nbim_vote,position_paper,rationale_text,esg_category_paper,esg_category_detailed,esg_category
eastman chemical co,EMN,United States,2024-05-02 00:00:00,1837722,Annual,1.4,Elect Director Mark J. Costa,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2023-05-04 00:00:00,1732595,Annual,1.4,Elect Director Mark J. Costa,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2023-05-04 00:00:00,1732595,Annual,5,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2022-05-05 00:00:00,1624568,Annual,1.3,Elect Director Mark J. Costa,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2021-05-06 00:00:00,1521890,Annual,1.4,Elect Director Mark J. Costa,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2021-05-06 00:00:00,1521890,Annual,5,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,ESG_ambiguous,ESG_ambiguous
eastman chemical co,EMN,United States,2020-05-07 00:00:00,1411703,Annual,1.3,Elect Director Mark J. Costa,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
eastman chemical co,EMN,United States,2020-05-07 00:00:00,1411703,Annual,4,Provide Right to Act by Written Consent,Shareholder,Against,For,,"Shareholders should in certain circumstances have the opportunity to raise issues of material importance without having to wait for management to schedule a meeting. All proposals subject to shareholder approval should be presented as individual items, and the vote tally should be published.",,ESG_ambiguous,ESG_ambiguous
ecolab inc,ECL,United States,2025-05-08 00:00:00,1944404,Annual,1c,Elect Director Christophe Beck,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2025-05-08 00:00:00,1944404,Annual,1d,Elect Director Michel D. Doukeris,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
ecolab inc,ECL,United States,2025-05-08 00:00:00,1944404,Annual,1m,Elect Director John J. Zillmer,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
ecolab inc,ECL,United States,2024-05-02 00:00:00,1835711,Annual,1c,Elect Director Christophe Beck,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2024-05-02 00:00:00,1835711,Annual,1l,Elect Director John J. Zillmer,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
ecolab inc,ECL,United States,2024-05-02 00:00:00,1835711,Annual,4,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2023-05-04 00:00:00,1730677,Annual,1c,Elect Director Christophe Beck,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2023-05-04 00:00:00,1730677,Annual,1m,Elect Director John J. Zillmer,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
ecolab inc,ECL,United States,2023-05-04 00:00:00,1730677,Annual,7,Require Independent Board Chair,Shareholder,Against,For,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2022-05-05 00:00:00,1622979,Annual,1c,Elect Director Christophe Beck,Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2022-05-05 00:00:00,1622979,Annual,1l,Elect Director John J. Zillmer,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
ecolab inc,ECL,United States,2021-05-06 00:00:00,1519634,Annual,1m,Elect Director John J. Zillmer,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
ecolab inc,ECL,United States,2020-05-07 00:00:00,1410055,Annual,1a,"Elect Director Douglas M. Baker, Jr.",Management,For,Against,Position paper: Separation of chairperson and CEO,"The board should exercise objective judgement on corporate affairs and be able to make decisions independently of management. The roles of chairperson and CEO should not be held by the same individual. Where a company founder combines both roles, we may support this for a limited period, provided the board has put in place measures to mitigate any conflicts of interest.",G,,G
ecolab inc,ECL,United States,2020-05-07 00:00:00,1410055,Annual,1l,Elect Director John J. Zillmer,Management,For,Against,Position paper: Time commitment of board members,Board members should devote sufficient time to fulfil their responsibilities effectively. The chairperson is responsible for leading all aspects of the board’s work and should devote a significant amount of time to fulfil his or her responsibilities effectively. Board members should contribute to effective discussions and decision-making by attending all meetings.,G,,G
