company,ticker,error
nomura holdings inc,,No data returned
rockwell automation inc,,No data returned
rubrik inc,,No data returned
genmab a/s,,No data returned
wisetech global ltd,,No data returned
sf holding co ltd,,No data returned
kweichow moutai co ltd,,No data returned
sumitomo mitsui trust group inc,,No data returned
st james's place plc,,No data returned
xero ltd,,No data returned
hcl technologies ltd,,No data returned
aena sme sa,,No data returned
w r berkley corp,,No data returned
teradyne inc,,No data returned
cboe global markets inc,,No data returned
beijing new building materials plc,,No data returned
leidos holdings inc,,No data returned
info edge india ltd,,No data returned
baidu inc,,No data returned
grasim industries ltd,,No data returned
ajinomoto co inc,,No data returned
qbe insurance group ltd,,No data returned
juniper networks inc,,No data returned
yum china holdings inc,,No data returned
petrochina co ltd,,No data returned
cochlear ltd,,No data returned
packaging corp of america,,No data returned
oriental land co ltd/japan,,No data returned
cloudflare inc,,No data returned
delta electronics inc,,No data returned
divi's laboratories ltd,,No data returned
marks & spencer group plc,,No data returned
live nation entertainment inc,,No data returned
hindustan unilever ltd,,No data returned
hyundai mobis co ltd,,No data returned
coles group ltd,,No data returned
miniso group holding ltd,,No data returned
estee lauder cos inc/the,,No data returned
domino's pizza inc,,No data returned
nippon paint holdings co ltd,,No data returned
clorox co/the,,No data returned
m&g plc,,No data returned
corteva inc,,No data returned
sekisui house ltd,,No data returned
eneos holdings inc,,No data returned
link reit,,No data returned
salik co pjsc,,No data returned
secom co ltd,,No data returned
loblaw cos ltd,,No data returned
tata motors ltd,,No data returned
cardinal health inc,,No data returned
citizens financial group inc,,No data returned
equatorial energia sa,,No data returned
okta inc,,No data returned
natera inc,,No data returned
corpay inc,,No data returned
ulta beauty inc,,No data returned
interactive brokers group inc,,No data returned
ck hutchison holdings ltd,,No data returned
japan post bank co ltd,,No data returned
samsung sdi co ltd,,No data returned
interglobe aviation ltd,,No data returned
quanta computer inc,,No data returned
sumitomo realty & development co ltd,,No data returned
skyworks solutions inc,,No data returned
mitsui osk lines ltd,,No data returned
lenovo group ltd,,No data returned
finecobank banca fineco spa,,No data returned
toast inc,,No data returned
burlington stores inc,,No data returned
hero motocorp ltd,,No data returned
dick's sporting goods inc,,No data returned
hd hyundai electric co ltd,,No data returned
grupo mexico sab de cv,,No data returned
h world group ltd,,No data returned
pure storage inc,,No data returned
docusign inc,,No data returned
mccormick & co inc/md,,No data returned
verisign inc,,No data returned
power corp of canada,,No data returned
tech mahindra ltd,,No data returned
t&d holdings inc,,No data returned
fisher & paykel healthcare corp ltd,,No data returned
cooper cos inc/the,,No data returned
principal financial group inc,,No data returned
wipro ltd,,No data returned
emirates nbd bank pjsc,,No data returned
public bank bhd,,No data returned
zimmer biomet holdings inc,,No data returned
rb global inc,,No data returned
nordnet ab publ,,No data returned
carlisle cos inc,,No data returned
bank mandiri persero tbk pt,,No data returned
warehouses de pauw cva,,No data returned
manhattan associates inc,,No data returned
tata steel ltd,,No data returned
ss&c technologies holdings inc,,No data returned
asustek computer inc,,No data returned
pop mart international group ltd,,No data returned
haier smart home co ltd,,No data returned
carlsberg as,,No data returned
ememory technology inc,,No data returned
builders firstsource inc,,No data returned
comfort systems usa inc,,No data returned
china pacific insurance group co ltd,,No data returned
nutanix inc,,No data returned
zillow group inc,,No data returned
sage group plc/the,,No data returned
vestas wind systems a/s,,No data returned
dynatrace inc,,No data returned
frontier communications parent inc,,No data returned
cimb group holdings bhd,,No data returned
cholamandalam investment and finance co ltd,,No data returned
maruti suzuki india ltd,,No data returned
samsonite international sa,,No data returned
xpo inc,,No data returned
bajaj auto ltd,,No data returned
unipol gruppo spa,,No data returned
reliance inc,,No data returned
mongodb inc,,No data returned
insurance australia group ltd,,No data returned
bandai namco holdings inc,,No data returned
hongfa technology co ltd,,No data returned
syensqo sa,,No data returned
grupo aeroportuario del sureste sab de cv,,No data returned
china petroleum & chemical corp,,No data returned
astera labs inc,,No data returned
eicher motors ltd,,No data returned
icici prudential life insurance co ltd,,No data returned
fortis inc/canada,,No data returned
nkt a/s,,No data returned
titan co ltd,,No data returned
wuxi biologics cayman inc,,No data returned
mineral resources ltd,,No data returned
gaming and leisure properties inc,,No data returned
casey's general stores inc,,No data returned
promotora y operadora de infraestructura sab de cv,,No data returned
jentech precision industrial co ltd,,No data returned
best buy co inc,,No data returned
rollins inc,,No data returned
reinsurance group of america inc,,No data returned
mega financial holding co ltd,,No data returned
tryg a/s,,No data returned
glenmark pharmaceuticals ltd,,No data returned
computershare ltd,,No data returned
vipshop holdings ltd,,No data returned
power grid corp of india ltd,,No data returned
tyson foods inc,,No data returned
agricultural bank of china ltd,,No data returned
epam systems inc,,No data returned
kasikornbank pcl,,No data returned
shimano inc,,No data returned
japan exchange group inc,,No data returned
united airlines holdings inc,,No data returned
dubai electricity & water authority pjsc,,No data returned
f5 inc,,No data returned
dollar tree inc,,No data returned
trent ltd,,No data returned
east west bancorp inc,,No data returned
conagra brands inc,,No data returned
yuanta financial holding co ltd,,No data returned
origin energy ltd,,No data returned
healthpeak properties inc,,No data returned
power assets holdings ltd,,No data returned
indusind bank ltd,,No data returned
hashicorp inc,,No data returned
moderna inc,,No data returned
lotes co ltd,,No data returned
metro inc/cn,,No data returned
equity lifestyle properties inc,,No data returned
acs actividades de construccion y servicios sa,,No data returned
fuji electric co ltd,,No data returned
texas roadhouse inc,,No data returned
shionogi & co ltd,,No data returned
seibu holdings inc,,No data returned
srf ltd,,No data returned
telia co ab,,No data returned
industries qatar qsc,,No data returned
fidelity national financial inc,,No data returned
coforge ltd,,No data returned
bizlink holding inc,,No data returned
logitech international sa,,No data returned
chunghwa telecom co ltd,,No data returned
ase technology holding co ltd,,No data returned
centerpoint energy inc,,No data returned
e.sun financial holding co ltd,,No data returned
lithia motors inc,,No data returned
wanhua chemical group co ltd,,No data returned
duolingo inc,,No data returned
sbi life insurance co ltd,,No data returned
grab holdings ltd,,No data returned
bajaj finserv ltd,,No data returned
delta air lines inc,,No data returned
naura technology group co ltd,,No data returned
daifuku co ltd,,No data returned
toll brothers inc,,No data returned
hdfc life insurance co ltd,,No data returned
kansai electric power co inc/the,,No data returned
affirm holdings inc,,No data returned
gulf energy development pcl,,No data returned
tempur sealy international inc,,No data returned
flughafen zurich ag,,No data returned
360 one wam ltd,,No data returned
procore technologies inc,,No data returned
vishay intertechnology inc,,No data returned
jb hunt transport services inc,,No data returned
chung-hsin electric & machinery manufacturing corp,,No data returned
assurant inc,,No data returned
shriram finance ltd,,No data returned
sbi holdings inc,,No data returned
sprouts farmers market inc,,No data returned
max healthcare institute ltd,,No data returned
bid corp ltd,,No data returned
osaka gas co ltd,,No data returned
dupont de nemours inc,,No data returned
cdw corp/de,,No data returned
keisei electric railway co ltd,,No data returned
pidilite industries ltd,,No data returned
avantor inc,,No data returned
idemitsu kosan co ltd,,No data returned
wuxi apptec co ltd,,No data returned
sonic healthcare ltd,,No data returned
cts eventim ag & co kgaa,,No data returned
auckland international airport ltd,,No data returned
eurobank ergasias services and holdings sa,,No data returned
clean harbors inc,,No data returned
wp carey inc,,No data returned
supreme industries ltd,,No data returned
largan precision co ltd,,No data returned
tsingtao brewery co ltd,,No data returned
muthoot finance ltd,,No data returned
bj's wholesale club holdings inc,,No data returned
one 97 communications ltd,,No data returned
e ink holdings inc,,No data returned
asian paints ltd,,No data returned
shengyi technology co ltd,,No data returned
abu dhabi ports co pjsc,,No data returned
ch robinson worldwide inc,,No data returned
china resources land ltd,,No data returned
sinopac financial holdings co ltd,,No data returned
littelfuse inc,,No data returned
malayan banking bhd,,No data returned
ashok leyland ltd,,No data returned
hdfc asset management co ltd,,No data returned
molina healthcare inc,,No data returned
sk telecom co ltd,,No data returned
hologic inc,,No data returned
monday.com ltd,,No data returned
ck asset holdings ltd,,No data returned
applied industrial technologies inc,,No data returned
ap moller - maersk a/s,,No data returned
cf industries holdings inc,,No data returned
descartes systems group inc/the,,No data returned
mr price group ltd,,No data returned
sarepta therapeutics inc,,No data returned
annaly capital management inc,,No data returned
revvity inc,,No data returned
weir group plc/the,,No data returned
hydro one ltd,,No data returned
hana financial group inc,,No data returned
swatch group ag/the,,No data returned
jiangsu zhongtian technology co ltd,,No data returned
zealand pharma a/s,,No data returned
rivian automotive inc,,No data returned
car group ltd,,No data returned
square enix holdings co ltd,,No data returned
keppel ltd,,No data returned
standardaero inc,,No data returned
daito trust construction co ltd,,No data returned
citic securities co ltd,,No data returned
american financial group inc/oh,,No data returned
tetra tech inc,,No data returned
godrej consumer products ltd,,No data returned
yamaha motor co ltd,,No data returned
atour lifestyle holdings ltd,,No data returned
lupin ltd,,No data returned
woodward inc,,No data returned
sanrio co ltd,,No data returned
hd korea shipbuilding & offshore engineering co ltd,,No data returned
dt midstream inc,,No data returned
asia vital components co ltd,,No data returned
jsw steel ltd,,No data returned
crompton greaves consumer electricals ltd,,No data returned
onestream inc,,No data returned
first financial holding co ltd,,No data returned
watsco inc,,No data returned
kingsoft corp ltd,,No data returned
innovent biologics inc,,No data returned
mueller industries inc,,No data returned
c&d international investment group ltd,,No data returned
globus medical inc,,No data returned
samsung fire & marine insurance co ltd,,No data returned
nitori holdings co ltd,,No data returned
aptargroup inc,,No data returned
sumitomo metal mining co ltd,,No data returned
worldline sa/france,,No data returned
koc holding as,,No data returned
wynn resorts ltd,,No data returned
balkrishna industries ltd,,No data returned
zhuzhou crrc times electric co ltd,,No data returned
sunrise communications ag/old,,No data returned
advanced info service pcl,,No data returned
stanley black & decker inc,,No data returned
sgh ltd,,No data returned
dr reddy's laboratories ltd,,No data returned
ryohin keikaku co ltd,,No data returned
tapestry inc,,No data returned
bellring brands inc,,No data returned
houlihan lokey inc,,No data returned
satellite chemical co ltd,,No data returned
crown holdings inc,,No data returned
singapore exchange ltd,,No data returned
concordia financial group ltd,,No data returned
hong kong & china gas co ltd,,No data returned
dai nippon printing co ltd,,No data returned
t rowe price group inc,,No data returned
multi commodity exchange of india ltd,,No data returned
match group inc,,No data returned
treasury wine estates ltd,,No data returned
doosan enerbility co ltd,,No data returned
godrej properties ltd,,No data returned
global health ltd/india,,No data returned
singapore airlines ltd,,No data returned
morningstar inc,,No data returned
hd hyundai heavy industries co ltd,,No data returned
ia financial corp inc,,No data returned
lottery corp ltd/the,,No data returned
vaxcyte inc,,No data returned
j m smucker co/the,,No data returned
kgi financial holding co ltd,,No data returned
acuity brands inc,,No data returned
george weston ltd,,No data returned
omega healthcare investors inc,,No data returned
blue star ltd,,No data returned
julius baer group ltd,,No data returned
infratil ltd,,No data returned
ayala land inc,,No data returned
mphasis ltd,,No data returned
post holdings inc,,No data returned
gamuda bhd,,No data returned
allison transmission holdings inc,,No data returned
international container terminal services inc,,No data returned
china yangtze power co ltd,,No data returned
sekisui chemical co ltd,,No data returned
tmx group ltd,,No data returned
prudential financial inc,,No data returned
telkom indonesia persero tbk pt,,No data returned
alteogen inc,,No data returned
exlservice holdings inc,,No data returned
hikari tsushin inc,,No data returned
spirit aerosystems holdings inc,,No data returned
planet fitness inc,,No data returned
skechers usa inc,,No data returned
jyske bank a/s,,No data returned
wyndham hotels & resorts inc,,No data returned
rexford industrial realty inc,,No data returned
expeditors international of washington inc,,No data returned
bill holdings inc,,No data returned
tko group holdings inc,,No data returned
chubu electric power co inc,,No data returned
kbr inc,,No data returned
gaztransport et technigaz sa,,No data returned
sofi technologies inc,,No data returned
tokyo gas co ltd,,No data returned
henry schein inc,,No data returned
capcom co ltd,,No data returned
chroma ate inc,,No data returned
essential utilities inc,,No data returned
lg electronics inc,,No data returned
elastic nv,,No data returned
pinnacle financial partners inc,,No data returned
bangkok bank pcl,,No data returned
broadridge financial solutions inc,,No data returned
light & wonder inc,,No data returned
fortune brands innovations inc,,No data returned
geely automobile holdings ltd,,No data returned
ringkjoebing landbobank a/s,,No data returned
sharkninja inc,,No data returned
alamos gold inc,,No data returned
eastgroup properties inc,,No data returned
indian hotels co ltd/the,,No data returned
daiwa securities group inc,,No data returned
qatar gas transport co ltd,,No data returned
marico ltd,,No data returned
shin kong financial holding co ltd,,No data returned
zensho holdings co ltd,,No data returned
globe telecom inc,,No data returned
toppan holdings inc,,No data returned
core & main inc,,No data returned
kirin holdings co ltd,,No data returned
elite material co ltd,,No data returned
british land co plc/the,,No data returned
inner mongolia yili industrial group co ltd,,No data returned
vallourec saca,,No data returned
iss a/s,,No data returned
aeon co ltd,,No data returned
steadfast group ltd,,No data returned
ryder system inc,,No data returned
chart industries inc,,No data returned
makemytrip ltd,,No data returned
corp inmobiliaria vesta sab de cv,,No data returned
b3 sa - brasil bolsa balcao,,No data returned
mosaic co/the,,No data returned
fuyao glass industry group co ltd,,No data returned
charles river laboratories international inc,,No data returned
polycab india ltd,,No data returned
macy's inc,,No data returned
voya financial inc,,No data returned
service corp international/us,,No data returned
hanwha aerospace co ltd,,No data returned
minor international pcl,,No data returned
eisai co ltd,,No data returned
hasbro inc,,No data returned
worley ltd,,No data returned
wesco international inc,,No data returned
a o smith corp,,No data returned
hua nan financial holdings co ltd,,No data returned
niterra co ltd,,No data returned
gulf bank kscp,,No data returned
telecom italia spa/milano,,No data returned
samsung c&t corp,,No data returned
azek co inc/the,,No data returned
bank negara indonesia persero tbk pt,,No data returned
exelixis inc,,No data returned
rakuten group inc,,No data returned
lamb weston holdings inc,,No data returned
beacon roofing supply inc,,No data returned
badger meter inc,,No data returned
suzlon energy ltd,,No data returned
power finance corp ltd,,No data returned
nnn reit inc,,No data returned
jiangsu hengrui pharmaceuticals co ltd,,No data returned
qantas airways ltd,,No data returned
asx ltd,,No data returned
jubilant foodworks ltd,,No data returned
yutong bus co ltd,,No data returned
selective insurance group inc,,No data returned
spx technologies inc,,No data returned
toyo suisan kaisha ltd,,No data returned
esr group ltd,,No data returned
bank leumi le-israel bm,,No data returned
hankyu hanshin holdings inc,,No data returned
bethel automotive safety systems co ltd,,No data returned
revolution medicines inc,,No data returned
zhejiang jiuli hi-tech metals co ltd,,No data returned
misumi group inc,,No data returned
samsung biologics co ltd,,No data returned
tate & lyle plc,,No data returned
berry global group inc,,No data returned
bumrungrad hospital pcl,,No data returned
ensign group inc/the,,No data returned
kei industries ltd,,No data returned
genpact ltd,,No data returned
first industrial realty trust inc,,No data returned
powszechna kasa oszczednosci bank polski sa,,No data returned
lic housing finance ltd,,No data returned
swire pacific ltd,,No data returned
hirose electric co ltd,,No data returned
ackermans & van haaren nv,,No data returned
dixon technologies india ltd,,No data returned
kinsale capital group inc,,No data returned
pro medicus ltd,,No data returned
abercrombie & fitch co,,No data returned
axis capital holdings ltd,,No data returned
taiwan cooperative financial holding co ltd,,No data returned
krafton inc,,No data returned
shandong weigao group medical polymer co ltd,,No data returned
compeq manufacturing co ltd,,No data returned
commerce bancshares inc/mo,,No data returned
advanced drainage systems inc,,No data returned
srisawad corp pcl,,No data returned
healthequity inc,,No data returned
agc inc,,No data returned
samvardhana motherson international ltd,,No data returned
mks instruments inc,,No data returned
swissquote group holding sa,,No data returned
ati inc,,No data returned
siemens ltd,,No data returned
vicinity ltd,,No data returned
macom technology solutions holdings inc,,No data returned
porsche automobil holding se,,No data returned
ramsay health care ltd,,No data returned
la francaise des jeux saca,,No data returned
gigabyte technology co ltd,,No data returned
do & co ag,,No data returned
ufp industries inc,,No data returned
essential properties realty trust inc,,No data returned
amedisys inc,,No data returned
cyberagent inc,,No data returned
perrigo co plc,,No data returned
h & m hennes & mauritz ab,,No data returned
nissan motor co ltd,,No data returned
asbury automotive group inc,,No data returned
canon inc,,No data returned
rec ltd,,No data returned
tcc group holdings co ltd,,No data returned
medibank pvt ltd,,No data returned
lyondellbasell industries nv,,No data returned
aaon inc,,No data returned
stag industrial inc,,No data returned
park24 co ltd,,No data returned
sentinelone inc,,No data returned
man group plc/jersey,,No data returned
summit materials inc,,No data returned
xpeng inc,,No data returned
orbia advance corp sab de cv,,No data returned
jfe holdings inc,,No data returned
challenger ltd,,No data returned
kanzhun ltd,,No data returned
wh group ltd,,No data returned
bilibili inc,,No data returned
celsius holdings inc,,No data returned
axiata group bhd,,No data returned
sydbank as,,No data returned
suntory beverage & food ltd,,No data returned
franklin electric co inc,,No data returned
koito manufacturing co ltd,,No data returned
franklin resources inc,,No data returned
longfor group holdings ltd,,No data returned
thyssenkrupp nucera ag & co kgaa,,No data returned
lyft inc,,No data returned
enphase energy inc,,No data returned
j&t global express ltd,,No data returned
royal gold inc,,No data returned
neurocrine biosciences inc,,No data returned
goto gojek tokopedia tbk pt,,No data returned
carlyle group inc/the,,No data returned
yakult honsha co ltd,,No data returned
goodyear tire & rubber co/the,,No data returned
net one systems co ltd,,No data returned
kobe bussan co ltd,,No data returned
coca-cola bottlers japan holdings inc,,No data returned
elia group sa/nv,,No data returned
kobayashi pharmaceutical co ltd,,No data returned
ageas sa/nv,,No data returned
j & j snack foods corp,,No data returned
siam cement pcl/the,,No data returned
allegro microsystems inc,,No data returned
anadolu efes biracilik ve malt sanayii as,,No data returned
monotaro co ltd,,No data returned
hang lung properties ltd,,No data returned
springer nature ag & co kgaa,,No data returned
vale indonesia tbk pt,,No data returned
matsukiyococokara & co,,No data returned
sime darby bhd,,No data returned
coursera inc,,No data returned
adani green energy ltd,,No data returned
carlsberg brewery malaysia bhd,,No data returned
shoals technologies group inc,,No data returned
ganfeng lithium group co ltd,,No data returned
toro co/the,,No data returned
super micro computer inc,,No data returned
pilgrim's pride corp,,No data returned
digitalbridge group inc,,No data returned
cgn mining co ltd,,No data returned
array technologies inc,,No data returned
bentley systems inc,,No data returned
solaredge technologies inc,,No data returned
cogent communications holdings inc,,No data returned
dentsu group inc,,No data returned
shandong nanshan aluminum co ltd,,No data returned
paramount group inc,,No data returned
fluence energy inc,,No data returned
hershey co/the,,No data returned
tripadvisor inc,,No data returned
celltrion inc,,No data returned
